name,interests
Dominik L. Michels,"Algorithmics, Artificial Intelligence, Machine Learning, Scientific Computing, Visual Computing"
Dmitry A. Lyakhov,fail
Vladimir P. Gerdt,fail
Gerrit A. Sobottka,fail
Andreas Georg Weber,in vitro toxicology
Milosh Stolikj,
Thomas M. M. Meyfroyt,fail
Pieter J. L. Cuijpers,fail
Johan Lukkien,"Distributed real-time embedded systems, Embedded networks, software architecture, simulation of"
Daniel Ruprecht,"computational mathematics, parallel-in-time integration, high-performance computing, scientific computing, meteorology"
Giovanni Da San Martino,Machine Learning and Natural Language Processing
Prof. Dr. Markus Axer,"Fiber Architecture, Polarized Light Imaging, Scattered Light Imaging, Correlative Microscopy, Tissue Modeling and Simulation"
Hans De Raedt,physics
Kristel Michielsen,"Quantum Computing, Quantum Annealing, Hybrid HPC-QC"
Ilia Polian,"Hardware security, Emerging architectures, Test and reliability"
Kae Nemoto,fail
Simon J. Devitt,fail
Carlos Alegr®™a-Galicia,fail
Tzolkin Gardu?o,fail
Areli Rosas Navarrete,Algoritmos Inteligencia Artificial
Jorge Urrutia,"Computational Geometry, Discrete Geometry, Partial Orders, Graph Theory, Combinatorics"
Peter B®πrgisser,fail
Kathl®¶n Kohn,"algebraic geometry, machine learning, computer vision, statistics"
Pierre Lairez,computational mathematics
Bernd Sturmfels,Research Group in Nonlinear Algebra
Anna Frid,combinatorics on words
Svetlana Puzynina,
Anshu Shukla,
Michael Joswig,"geometric combinatorics, mathematical software"
Georg Loho,
Benjamin C. van Zuiden,Soft Condensed Matter Theory and Computational Physics
Benjamin Schr?ter,"Geometric Combinatorics, Discrete Geometry, Matroid Theory, Tropical Geometry"
rimah amami,
Dorra Frikha-Benayed,"Bone disease, Bone and cancer, Bone metabolism"
Nouerddine Ellouze,fail
Wen-Sheng SHU,"Ecology, Environmental Science"
Cristina Videira Lopes,"Programming Languages, Software Engineering, Information Retrieval, Web, Distributed Systems"
Riccardo Tesselli,fail
Dr. Tehreem Masood,"Software Engineering, Artificial Intelligence, Data Science, Machine Learning, Software Testing"
Aamer Nadeem,"Software testing, Software fault tolerance, Formal methods"
Gang-soo Lee,fail
Alexandru Paler,"quantum operating systems, quantum software, fault-tolerant quantum computing"
Silvio Guimar?es,"Image processing, Video analysis, Audiovisual information retrieval"
Yusupjan Habibulla,fail
’‘Ωª™£®Jin-Hua Zhao£©,"statistical physics, complex networks, optimization"
Hai-Jun Zhou,"spin glass, optimization, polymer, complex network, game"
Simone Bianco,"Computer Vision, Image Processing, Machine Learning, Optimization, Deep Learning"
Gianluigi Ciocca,"Computer Vision, Image Understanding, Pattern Recognition, Video Analysis, Machine Learning"
Raimondo Schettini,"color imaging, artificial vision, artificial intelligence, image understanding"
Citlalli Gamez Serna,fail
Ruven Pillay,"hyperspectral imaging, machine learning, image processing, visualization"
Alain Tr®¶meau,"Computer Vision, Color Science"
Marek Chrobak,"Algorithms, Combinatorial optimization, Theory of computation"
Mordecai Golin,"Design and Analysis of Algorithms, Information Theory, Combinatorics"
J. Ian Munro,fail
Rem W. Collier`,fail
Thomas Chatain,fail
Neal E. Young,"approximation algorithms, online algorithms, algorithms, combinatorial optimization, theory of computation"
Sascha Witt,
Nardine Osman,"Artificial Intelligence, Multiagent Systems, Formal Verification, Trust and Reputation"
Alessandro Provetti,"AI, Web Algorithmics, Computational Social Sciences"
Valerio Riggi,fail
Dr Mukwanga Willy Siti,"Energy management, Power System, optimal Control"
Justin Jordaan (PhD),Biological Sciences
Marcin Jurdzi®Ωski,"theoretical computer science, algorithms, games, automata, logic"
Ranko Lazic,theoretical computer science
Eric Chitambar,Quantum Information Theory
Ben Fortescue,fail
Jean Cousty,"Image processing, mathematical morphology, discrete topology"
Laurent Najman,"Computer vision, Image processing"
Yukiko Kenmochi,"Computer Science, Digital Geometry, Digital Topology, Image Computing"
Salma Ben Dhaou,fail
Mouloud Kharoune,fail
Ola Younis,"Augmented Reality, Human-Computer Interaction, Computer Vision, Machine Learning"
Said Ghoul,"Software engineering, Bio-inspired systems"
Antonino Salibra,DAIS
Daniela Luan Petri?an,fail
Przemys?aw Gordinowicz,"combinatorics, graph theory"
Martin Lange,"Drug discovery, Biomarkers, preclinical pharmacology, oncology"
Michel GREDIAC,"Experimental Mechanics, Photomechanics, Full-Field Measurements, Mechanics, Virtual Fields Method"
Jeremy P Meyers,"electrochemical engineering, battery modeling, energy storage"
Jonni Virtema,"Finite Model Theory, Logic in Computer Science, Modal Logic, Temporal Logic, Descriptive Complexity"
Nidhal Khdhair El Abbadi,fail
Enas Hamood Al Saadi,fail
Sandie Balaguer,fail
Jitendra Kumar Sahu,Pediatric Neurology
Rolf Daniel,"Microbiology, Metagenomics, Microbial Ecology, Biotechnology, Genomics"
Min-Hsiu Hsieh,"Quantum Error Correction, Quantum Information Theory, Quantum Computation and Algorithms"
Kohei Kishida,"Logic, Computer Science, Mathematics, Quantum Foundations, Information and Computation"
Raymond Lal,fail
Seung-Hoon Na,"Natural Language Processing, Information retrieval"
In-Su Kang,fail
Jong-Hyeok Lee,"Machine Translation, Natural Language Processing, Information Retrieval"
Marijn ten Thij,"computational social science, data science, network science, computational psychology"
Tanneke Ouboter,fail
Dani?l Worm,"Applied Cryptography, Multi-Party Computation, Stochastic Modelling, Data Analytics, Anomaly Detection"
Nelly Litvak,"complex networks, random graphs, applied probability"
Hans van den Berg,"ICT, communication networks, performance analysis, operations research"
Sandjai Bhulai,"Operations Research, Service Operations Management, Business Analytics"
Rustem Aidagulov,fail
David R. Wessels,"Geometric Deep learning, Generative Modelling, Geometry Grounded Representations."
Maksym A. Girnyk,fail
Fr®¶d®¶ric Gabry,"Communication Theory, Game Theory, Information Theory"
Mikko Vehkaper?,"5G, 6G"
Lars K. Rasmussen,"communication theory, information theory, coding, multiuser communication, deep learning"
Arnaud Martin,"Evolutionary Developmental Biology, Evolutionary Genetics, Pattern Formation, Butterflies"
Boutheina Ben Yaghlane,"Uncertainty Knowledge Management, Evidential Data Base, Belief Functions Theory"
Jean-Christophe Dubois,fail
Yolande Le Gall,fail
Aina Frau-Pascual,signal and image processing
Vincent Thomas,"Microbiology, Microbial Ecology, Infectious Diseases"
Jennifer Sloboda,
Philippe Ciuciu,"signal and image processing, MRI, compressed sensing, fMRI/MEG, machine learning"
Florence Forbes,"Statistics, Bayesian image processing, Clustering techniques, Markov random fields, Mixture models"
Kratarth Goel,"Artificial Intelligence, Deep Learning, Computer Vision"
Raunaq Vohra,"Computer Science, Machine Learning, Distributed Systems"
Helmut G. Katzgraber,"computational physics, quantum computing, algorithms, glassy systems, anything computational"
Jaakko Luttinen,Bayesian Modeling and Machine Learning
Tapani Raiko,"deep learning, machine learning, reinforcement learning, robotics, planning"
Alexander Ilin,
Flavia Bonomo-Braberman,"Graph Theory, Combinatorial Optimization"
Fran?oise Levy-Dit-Vehel,fail
abdullatif shikfa,"Applied Cryptography, Information Security, Cyber-security"
Jens Ma?berg,fail
Simao P. S. Santos,"matem®¢tica, c®¢lculo das varia??es, controlo ®Æptimo, time-scales"
Nat®¢lia Martins,
Delfim F. M. Torres,"Mathematics, Calculus of variations and optimal control, optimization, fractional calculus, time scales"
Ilya Trofimov,Machine learning
Alexander Genkin,"machine learning, computational neuroscience"
Andreas P. Maurer,"European Integration, Inter- and Intrainstitutional politics of the EU, Multi-Level Parliamentarism, European Parliament, Trade"
Daniel J. Fremont,"Formal Verification, Logic"
Alexandre Donze,
Peter Fontana,"Artificial Intelligence, Machine Learning, Data Science, Data Analysis, Listening"
Rance Cleaveland,"Formal methods, system modeling, system verification, software testing"
Carsten Kolassa,"Computer Science, Open Source, Software Architecture"
Dirk RIEHLE,"Computer Science, Software Engineering, Open Collaboration, Open Source, Inner Source"
Mikael Skoglund,"Information Theory, Communications, Signal Processing"
Fergus Toolan,fail
John Dunnion,
Marzuoli Annalisa,"Fisica matematica, fisica teorica"
Roberto Santana,"Estimation of Distribution Algorithms, Evolutionary Computation, Probabilistic Graphical Models, Machine Learning"
Ross B. McDonald,fail
Gabriel Martins Dias,"Wireless Networks, Wireless Sensor Networks, Data Science, IoT"
Simon Oechsner,fail
Boris Bellalta,"Wireless Networks, Wi-Fi / 802.11, Performance Evaluation"
P®•teris Paikens,"Natural language processing, IT security, machine learning"
Maria Chudnovsky,
Peter Maceli,fail
Oliver Schaudt,fail
Maya Stein,"Graph theory, Combinatorics"
Mingxian Zhong,"Graph Thoery, algorithm"
Roger C Anderson,ecology mycorrhizae deer prairies fire savanna garlic mustard
Oleg Finko,fail
Sergey Dyachenko,"Wave breaking, Nonlinear waves, Numerical methods"
Isabel M®¶ndez D®™az,fail
Dr Russell Delderfield,"male eating disorders, masculinities, reflective practice, reflexivity"
Igor Goychuk,"theoretical condensed matter, statistical physics and nonlinear stochastic dynamics, biophysics, chemical physics"
Michael A Salim,"Data intensive workflows, machine learning, high performance computing"
Micha? Jungiewicz,"Machine Learning, Natural Language Processing, Computer Vision, Medicine"
Katie Brodhead,"Deep Learning, Neural Networks, Natural Language Processing, Computability Theory, Algorithmic Randomness?"
Konstantin S. Solnushkin,
Pavol Cerny,"Computer-aided verification, Program synthesis"
Arjun Radhakrishna,
Leonid Ryzhyk,"Operating Systems, Networking, Formal Methods, Programming Languages"
Thorsten Tarrach,"Automated Test Case Generation, Verification, Synthesis"
Huming Liu,fail
Takeshi Yamakawa,
Alexander Timofeev,Geochemistry
Anastasiia Uliankina,
Andrei Afonin,Machine Learning
Li Lu,"Functional Materials, Li-ion battery, Supercapacitors, All-solid-state battery, Li/Na ion conductors"
Ari Seff,"Machine Learning, Generative Modeling"
Kevin M. Cherry,
Joanna Ficek-Pascual,
Wang Shijun,"Artificial Intelligence, machine learning, pattern recognition, computer aided diagnosis, complex system"
Jiamin Liu,
Evrim Turkbey,fail
"Ronald M. Summers, MD, PhD","deep learning, radiology, large-scale clinical image databases"
Dana Dann®¶lls,"multilingual natural language generation, language technology, natural language processing"
Normunds Gr®±z®©tis,"Computational Linguistics, Natural Language Processing, Language Technology"
Aur®¶lie Lagoutte,"Computer Science, combinatorics, graph theory"
Jean-Florent Raymond,fail
Pragyan Shrestha,"Medical Image Registration, 6DoF pose estimation, Visual Relocalization"
Dr. Chih-Chun Hsieh,"Steels, Metals, phase transformation, welding, metallurgy"
Hidehiko Shishido,fail
Yuichi Yoshii,
Itary Kitahara,fail
Erik B. Terres Escudero,
Danel Arias,"ingenier®™a inform®¢tica, computaci®Æn cu®¢ntica"
Oier Mentxaka G®Æmez,fail
Quim Motger,"software engineering, requirements engineering, natural language processing, large language models"
Fran?ois-Xavier D®¶sert,Astronomy and Astrophysics
Vincenzo Gervasi,"Computer Science, Software Engineering, Requirements Engineering, Natural Language Processing, Distributed Algorithms"
Jordi Marco,"Service Oriented Computing, Non-Functional Requirements, Software Engineering, Computer Graphics"
Xiao Cheng Zeng (ORCID:0000-0003-4672-8585),"Thermodynamics, Water-Ice, Surfaces & Interfaces, Computational Nanoscience, Computational Materials Science"
Mohamed-Eltaher Abdel Rahman Ali Ibrahim,"Gastroenterology, Hepatology, Tropical Medicine"
Frank Mohn,fail
Alexander Hsieh,
Suprateek Kundu,"Bayesian analysis, Biostatistics, Data Science, Deep Learning"
Joshua P. Yung,fail
Ankit B. Patel,"AI for Science & Medicine, Deep Machine Learning, Computational Neuroscience, Biologically Inspired Computing, Machine Learning"
Kristy Brock,Image Guided Cancer Therapy
Oliver J. Sutton,"Machine learning, Adversarial attacks, Numerical analysis, Finite element methods"
Jing Zhu,"NanoMaterial and NanoStructure, Interface and Surface in Materials, Electron Microscopy in Material Science"
Alexander N. Gorban,"Mathematical Neuroscience, Multiscale Analysis, Model Reduction, Kinetic Equations, Mathematical Chemistry"
Ivan Y. Tyukin,fail
Claudiu Musat,"Recommender Systems, Neural Architecture Search, Data Augmentation, Dialogue Managers"
Andrii Maksai,
Pranjal Kumar Dutta,
Dr. Gaurav Jindal,"IT, Computer Science, Professional Education"
Oscar Defrain,"Enumeration Algorithms, Graph Theory, Lattice Theory"
Diego Klabjan,Machine learning
Jean Utke,"deep learning, optimization"
Aditi Kabra,"Formal Methods, Cyber Physical Systems"
Jon M Laurent,Biology
Stefan Mitsch,"Cyber-physical Systems, Theorem Proving, Model-Driven Development, Runtime Verification"
Andr®¶ Platzer,"Logic in Computer Science, Theorem Proving, Programming Languages, Hybrid Systems"
Jos®¶ Manuel Ag®πero Trejo,fail
Michael J. Dinneen,"Combinatorial algorithms, graph theory, parallel and distributed networks, scientific computing"
Arkady Fedorov,"superconducting quantum circuits, quantum information, circuit quantum electrodynamics"
Anatoly Kulikov,fail
Pablo Garc®™a Bringas (ORCID: 0000-0003-3594-9534),"Artificial Intelligence, Big Data, Cybersecurity, Industry 4.0"
McKell Woodland,"Deep Learning, Medical Imaging, Out-of-Distribution Detection, Generative Modeling"
Austin Castelo,fail
Mais Al Taie,fail
Jessica Albuquerque Marques Silva,fail
Gunnar Stevens,"Verbraucherinformatik, Socio-Informatics, Sustainable Interaction Design, Privacy, Security"
Philipp Schaer,"Information Retrieval, Information Science, Digital Libraries"
Johann Schaible,"Databases, Data Science, Machine Learning, Knowledge Engineering"
Leyla Jael Garcia Castro,fail
Florian Geissler,Machine learning
Mirza Qutab Baig,"Renewable Energy Systems, Power Electronics, Solar PV Systems"
Michael Paulitsch,"Dependability, security, embedded networking, machine learning, resiliency"
Karthik Pattabiraman,"Dependability, Dependable Computing, Dependable systems, Fault injection, Cyber-Physical Systems Security"
Alexander E.I. Brownlee,"explainable optimization, metaheuristics, artificial intelligence, modelling & simulation, real world applications"
James Callan,"Computer Science, Software Engineering"
Karine Even-Mendoza,"Software Verification, Programming Languages, Testing, Model Checking, Compilers"
Diaeddin Rimawi,"Software Engineering, Collaborative Robotics, Machine Learning, Greenness, Resilience"
Antonio Liotta,"Data Science, Intelligent Systems, Internet of Things, Machine Learning, Quality of Experience"
"Marco Todescato, Ph.D.","Optimization, Learning, Multi-Agent Systems"
Barbara Russo,"Software/Systems Engineering, Software Measurement, Software Reliability, Software Testing, Technology Adoption"
Li Hanqing,molecular dynamics
Justyna Petke,"Genetic Improvement, Search-Based Software Engineering, Software Engineering"
Federica Sarro,"Automated Software Engineering, SBSE, Software Metrics, Empirical Software Engineering"
Dominik Sobania,"Software Engineering, Genetic Improvement, Program Synthesis, Machine Learning"
Yongsong Huang,"Organic Geochemistry, paleoclimatology & paleoecology, astrobiology, isotope geochemistry, chromatography & mass spectrometry"
Wanqing xie,"AI in Healthcare, Fintech, Machine Learning, Neuroscience, Medical Statistics"
Mingzhen Li,"HPC, AI System"
Mingmei Cheng,
wu dayang,lens retina
Weixiao Wang,"Laser and Plasma Physics, Light-Matter Interactions, Ultrafast Sciences, Nonlinear Optics, Laser and"
"Jane You, Professor","Image Processing, Pattern Recognition, Computer-aided Diagnosis and Monitoring"
Xiaofeng Liu,"Trustworthy AI, Computer Vision, Medical Image Analysis, Data Science, Health Informatics"
Rohit Navarathna,Superconducting Quantum Circuits
Md. Akhtarul Islam,"Membrane Technology, Environmental Technology, Polymer composites"
Sebastian Denef,"Artificial Intelligence, HCI, Social Media, Safety Critical IT"
Mohammad Rezaul Karim,"Nanomaterials, Conducting polymers, Energy storage, Water treatment and Thin-film solar cells"
Alexander Boden,"Verbraucherinformatik, Socio Informatics, Participatory Design, Human Computer Interaction, Computer Supported Cooperative Work"
Mathieu Lamard,
Dr. Ramachandra Rao Kurada,"multi objective optimization, computational intelligence, data mining"
Kanadam Karteeka Pavan,"Machine Learning, Bioinformatics"
A V DATTATREYA Rao,"statistics, cluster analysis and classification"
Gordon D Plotkin,fail
Hafez Moawad,fail
Eman Shaaban,"Wireless communications, Sensor networks, IoT networks, Embedded operating systems, and Information Security"
Zaki Taha,"Speech Recognation, Software Engineering."
Manuel A. Martins,"L®Ægica Alg®¶brica, L®Ægica Modal, M®¶todos Formais"
Alexandre Florian da Costa,Preserva??o e Biodeteriora??o de Madeiras
Luis S. Barbosa,"Formal methods, semantics"
Akitoshi Kawamura,fail
Hiroyuki Ota,
Carsten R?snick,fail
Alina Geiger,"Evolutionary Computation, Machine Learning, Genetic Programming"
Carol Hanna,Software Engineering
Dion Coumans,fail
Samuel J. van Gool,fail
Dick de Jongh,fail
Holger Moeller,
Justin Le Lou?dec,"Deep Learning, Computer vision, 3D vision, agri robotics"
Grzegorz Cielniak,"Mobile Robotics, Agricultural Robotics, Machine Vision, AI, Chronorobotics"
"Rachid, Youven Zeghlache","Deep learning, Self-supervised, Medical imaging, Longitudinal learning, Multi-Modal learning"
Pierre-Henri Conze,"medical image analysis, deep learning, image segmentation"
Mostafa EL HABIB DAHO,"Machine Learning, Deep Learning, Computer Vision, Medical Imaging, Multimodal Learning"
Yihao Li,"program debugging, quality assurance, metrics, software testing"
Hugo Le Boit®¶,fail
Ramin Tadayoni,fail
Pascal Le Masson,"Design, innovation management, product design, engineering design, design theory"
B®¶atrice Cochener,fail
Ikram Brahim,"Virologie, Immunologie, G®¶n®¶tique"
Gwenol®¶ Quellec,"image processing, information fusion, ophthalmology"
Ove Armbrust,fail
Masafumi Katahira,fail
Yuko Miyamoto,fail
Haruka Nakao,fail
Olga Jaufman,fail
Rosie McEachan,"Environmental determinants of health, longitudinal cohort studies, co-production"
Margherita Andrao,"Human-Computer Interaction, Cognitive Science, Educational Technology"
barbara treccani,
"Stephen J. Thomas, MD","infectious diseases, countermeasure development"
Nayan Jyoti Kalita,Natural Lanuguage Processing
Navanath Saharia,"Natural Language Processing, Language Technology Development, Social Computing, Compiler"
Smriti Kumar Sinha,"security, workflow, web service, computational linguistics"
Peter Banda,"Systems Biology, Machine Learning, Data Science, Bioinformatics, Biochemical Computing"
Christof Teuscher,Emerging computing architectures and paradigms
Julian Tschannen,fail
Alok Gautam Kumbhare,"Cloud Computing, Datacenter efficiency, Power management, Green computing"
Charith Wickramaarachchi,"Graph Analytics, Parallel and Distributed Computing, Distributed Systems"
Soonil Nagarkar,fail
Thomas Hanne,"computational intelligence, evolutionary algorithms, optimization, supply chain management, natural language processing"
Stefan Nickel,"Logistics, Location Theory, Online Optimization, Health Care, Multicriteria Optimization"
Dr. Andreas Wirsen,Ressourcenoptimierter Anlagenbetrieb
Ulrike Becker-Kornstaedt,fail
Daniela Boggio,fail
Gino Palladino,fail
Benjamin A. Burton,fail
Ansgar Lamersdorf,fail
ries manfred,"numerical analysis, optimization, partial differential equations, robotics, graphics"
Stefan Solbrig,fail
Tilo Wettig,fail
Diego Garlaschelli,"Network Theory, Complex Systems, Statistical Physics, Interdisciplinary Physics, Econophysics"
Sebastian E. Ahnert,fail
Thomas M. A. Fink,fail
Yen-Da Chen (Íêè©ﬂ_),
Marc Moreno Maza,"Symbolic computation, parallel computing, scientific computing, algebraic geometry, combinatorics"
"Richard K. Wilson, Ph.D.","Genomics, Molecular Biology, Genetics"
Adam Trendowicz,fail
Michael Ochs,"biostatistics, genomics"
Axel Wickenkamp,fail
Yasushi Ishigai,fail
Takashi Kawaguchi,fail
Pavel Tvrd®™k,"high performance computing, parallel programming, astroinformatics, distributed systems"
Tomas Dytrych,"nuclear physics, high performance computing"
Jerry P. Draayer,fail
Paul Peter Tak,"immunology, oncology, rheumatology, internal medicine"
Ravi Kant Arya,"Public health, Community medicine, social and preventive medicine"
Cauligi Raghavendra,fail
Viktor K. Prasanna,"parallel computation, high performance computing, reconfigurable computing, data science, energy efficient computing"
Nikolai Krivulin,"mathematics, computer sciences, operations research"
Marcin Bernas,
Rhys Martin,
Oß‘?eßﬂ ß°ß‚ß—ßﬂ?eß›oß”ß⁄? / Ognjen Arandjelovi?,"Computer vision, philosophy, machine learning, digital pathology"
Christoph Feilmayr,fail
Stefan Winkler,"video processing, computer vision, perception, machine learning"
Nils Meyer-Kahlen,"Virtual Acoustics, VR/AR, Spatial Audio"
Stratis Ioannidis,"distributed systems, big data, privacy, machine learning"
S Muthukrishnan,
Phillip Scott,Immunology
Marko Horvat,"LLMs, ontologies, knowledge graphs, affective computing, semantic web"
Guido Caldarelli,"Network Theory, Network Science, Statistical Physics, Complex Systems"
?ukasz Bolikowski,"Machine Learning, Artificial Intelligence"
Michael J. Schill,Finance
Xavier Allamigeon,fail
Victor Magron,"Polynomial optimization, quantum information, dynamical systems, deep learning, optimal powerflow"
Barry C. Sanders,"Quantum Information, Quantum Physics, Quantum Optics"
Magnus Lie Hetland,"Algorithms, Fair Division, Similarity Search"
Michael Nathan Cohen,
Sebastien Collette,
Thomas F. Hack,
Michael R. Hoffmann,"environmental chemistry, atmospheric chemistry, environmental engineering"
Kolja Knauer,
Stefan Langerman,"Algorithms, Data Structures, Computational Geometry, Discrete Geometry"
Sergei K. Suslov,"analysis, mathematical physics, special functions, quantum mechanics, quantum optics"
Pavel Chebotarev,"algebraic graph theory, matrix analysis, decision making, voting, cooperative control"
Michel Lang,"Machine Learning, Optimization, Data Science, Software Engineering, Parallelization"
Gerard Gorman,
Michele Weiland,"High Performance Computing, Artificial Intelligence, Computer Science"
Mitchell Lawrence,"Prostate cancer, endocrinology, urology, tumour microenvironment, patient-derived xenografts"
James R Hebert,"diet, cancer, epidemiology"
Katarzyna Musial,"Complex Networked Systems, Adaptive Systems, Complexity, Social Networks"
Przemyslaw Kazienkol,fail
H. -Christian Estler,fail
Martin Nordio,"Software Verification, Programming Languages, Software Engineering"
Marco Piccioni,fail
Sudhindu Bikash Mandal,Quantum Computing
Amlan Chakrabarti,"Quantum Computing, VLSI Design, Embedded Systems, Expert Systems, Computer Vision"
Gordan Gledec,web and internet technologies
Nikola Bogunovi?,fail
Tyanko Aleksiev,fail
Simon Barkow,fail
Peter Kunszt,fail
Sergio Maffioletti,fail
Riccardo Murri,"grid computing, distributed computing, parallel algorithms, mathematics, algebraic topology"
Christian Panse,"computational mass spectrometry, proteomics, maps, code, reproducible research"
Amitabh Basu,"Optimization, Discrete Geometry, Algorithms"
Robert Hildebrand,"volcanology, plutonic rocks, igneous petrology, tectonics, Cordilleran orogen"
David Garland,"Punishment, criminology, law, social theory, welfare state"
Vishal Dwivedi,"Software engineering, software architecture, end-user software development"
Ivan Ruchkin,"Safe Autonomous Systems, Cyber-Physical Systems, Assurance, Verification, Monitoring"
Bradley Schmerl,"Software Engineering, Software Architecture, Self-adaptation"
Micha? Laso®Ω,"Combinatorics, Algebra, Algebraic Geometry"
Piotr Micek,"combinatorics, theoretical computer science, structural graph theory, partially ordered sets, discrete geometry"
Torsten Ueckerdt,
Michael G LaMontagne,"Microbial Ecology, Microbiome, Biogeochemistry, Agriculture"
Ben J. Arthur,
Hitesh Tewari,Network Security and Applied Cryptography
Benjamin Morandi,fail
Scott Shane,
Hassan Gomaa,"software engineering, software architecture, model based software design, software product lines ..."
Mario Mureddu,"Renewable energy, energy storage, electricity markets, complex systems, complex networks"
Alessandro Chessa,fail
Alfonso Damiano,
Peter Arndt,"Homotopy Theory, Logic, Number Theory, Algebraic Geometry"
Chris Kapulkin,"Homotopy Theory, Category Theory, Formalization of Mathematics, Cryptography"
Camelia-M. Pintea,fail
Susmita Sur-Kolay,"Electronic design automation, Algorithms"
Ari Harju,computational technologies
Topi Siro,fail
Filippo Federici-Canova,fail
Samuli Hakala,fail
Teemu Rantalaiho,fail
M Mahmood Hussain,"chylomicrons, miR-30c, lipid absorption, circadian rhythms, microsomal triglyceride transfer protein"
Ashfaq Mahmood Amin,fail
Mohammed Eunus Ali,"Spatial Databases, Urban Computing, Artificial Intelligence"
Tanzima Hashem,"Spatial Databases, Ubiquitous Computing, Machine Learning and Deep Learning"
Maria Elena Buemi,"Image Processing, Computer Vision, Pattern Recognition, Machine Learning"
Marta Mejail,Image Processing. Computer Vision
Julio Jacobo Waiselfisz,
Alejandro C. Frery,"stochastic simulation, modeling, computational statistics, image processing and analysis"
Heitor S. Ramos,"Internet of Things, Mobile Computing, Federated Learning, Machine Learning, Distributed Systems"
G®πnce Keziban Orman,"Data mining, Complex Network Analysis, Recommendation Systems, Community Detection, Link Prediction"
Jose Antonio Iglesias,Artificial Intelligence
Ron Kimmel,"Image processing, computer vision, shape analysis, medical imaging, metric geometry"
Balasubramanian Sivan,Algorithmic Game Theory and Approximation algorithms
Vasilis Syrgkanis,"Machine Learning, Causal Inference, Econometrics, Game Theory, Mechanism Design"
Arkadiusz Biernacki,Mathematical Modelling
Udo Krieger,fail
Andr®¢s Seb?,"mathematics, computer science, combinatorial optimization, polyhedral combinatorics, integer programming"
Antonio Scala,"Statistical Mechanics, Complex Networks, Critical Infrastructures, Computational Social Science, Network Physiology"
Junichi Teruyama,fail
P®¶ter N®¶meti,fail
Gergely Sz®¶kely,fail
Frank Koob,fail
Steven r Laplante,
V®¶ronique LERAY,
Camelia Chira,fail
Gloria-C. Crisan,fail
Giulio Cimini,"statistical physics, complex systems, network science, econophysics, data science"
Matus Medo,"biostatistics, genomics, complex systems, complex networks, information filtering"
Jocelyn Tapia,fail
Hans L. Bodlaender,"algorithms, computational complexity, graph algorithms, graph theory, fixed parameter algorithms and complexity"
Bart M. P. Jansen,"Parameterized complexity, Kernelization, Parameter ecology, Kernel lower bounds"
Stefan Kratsch,"Theoretical Computer Science, Parameterized Complexity, Kernelization"
Joan Sol®§ Peracaula,Theoretical Physics
Jean-Marie CODOL,
Nicolas Mansard,Robotics
Simon Lacroix,"Mobile robotics, Field robotics"
Karthika Devi R,medical image processing
Matthew P. Szudzik,fail
J®Ænathan Heras,"Computer Vision, Image Processing, Machine Learning, Interactive Theorem Provers, Algebraic Topology"
Eva Mar®™a Poza-Rey,
Julio Miguel Rubio Aranda,"Biolog®™a molecular, biolog®™a celular, lipid®Æmica, gen®Æmica, prote®Æmica"
Iztok Fister,"Evolutionary Computation, Swarm Intelligence, Computational Intelligence"
Iztok Fister,"Evolutionary Computation, Swarm Intelligence, Computational Intelligence"
Janez Brest,"evolutionary computation, differential evolution, self-adaptation, constrained optimization, large-scale optimization"
Richard Cleve,"Quantum computing, computational complexity"
Joaquin Gayoso Cabada,"Attribute Grammars, Extraction of underlying information, eLearning, Digital Humanities"
Antonio Sarasa-Cabezuelo (ORCID:0000-0003-3698-7954),"Language Processing, XML, E-learning, Big Data"
Jos®¶-Luis Sierra,fail
Lan-Zhe Guo,Machine Learning
Han-Jia Lin,"diatom, polyamine, carbon quantum dot, synthetic biology"
Jie-Jing Shao,"Machine Learning, Neuro-Symbolic Learning, Reinforcement Learning"
Yu-Feng Li,neutrino physics and neutrino astronomy
Balaji Shesharao Ingole,"Healthcare, Medicaid, Medicare, Artificial Intelligence, Data Analytics"
Vishnu Ramineni,"UI Engineering, A11y, Design Systems, Digital Accessibility, Health Tech"
Julia H Rowland,cancer
Bruce Edmonds,"Social Simulation, Philosophy of Science, Agent-based Simulation, Modelling Methodology"
Carlos Gershenson,"complex systems, self-organizing systems, artificial life, information, urban mobility"
Martin Bachwerk,fail
Carl Vogel,fail
Cyril Roussillon,fail
Aurelien Gonzalez,fail
Jo?o Pedro Couto,"Gest?o da constru??o, BIM, Lean Construction, Tecnologias de constru??o avan?adas"
Maria Teresa Borges Tiago,"social media, smart tourism, digital marketing, healthcare, knowledge management"
Fl®¢vio Gomes Borges Tiago,"Digital Economy, Social Media, Marketing, eTourism, Knowledge Management"
Ahmed Ben Achballah,"NoC, Security, IoT, Embedded Systems, Industrial R&D"
slim ben saoud,embedded systems
Aya Samaha,"eeg, Brain-Computer Interface, Machine Learning"
Khaled AlKamha,fail
Victoriano Valencia Garc®™a,fail
Eugenio J. Fern®¢ndez Vicente,fail
Luis Usero Aragon®¶s,fail
Susumu Matsumae,fail
Fukuhito Ooshita,"Computer Science, Distributed Algorithm"
Simon Parkinson,"climate risk, sustainable development"
Andrew S Crampton,"Catalysis, Nanocatalysis, Electrochemistry, Energy"
Nasser A Alsadhan,fail
